25 Arp 2025 16:00 Tournament A17. league 700-800								
19:00	3rd	Vondrak M	 	778		1 : 3	9-11 11-7 8-11 9-11	-6.7
18:00	gr	Louda Ji	 	856		2 : 3	4-11 11-7 12-10 6-11 3-11	-1.3
17:00	gr	Sedlak M sr.	 	843		2 : 3	4-11 13-11 11-9 9-11 7-11	-1.9
16:30	gr	Vondrak M	 	778		3 : 1	11-8 7-11 11-6 12-10	+5.3
25 Feb 2025 12:00 Tournament A14. league 800-900								
		Zuzanek J		794	3 place			-4.4
		Opponent		Rat.	Result			Delta
15:00	3rd	Dorko T	 	804		3 : 0	11-2 11-6 11-5	+8.8
14:30	gr	Sobisek M	 	794		1 : 3	11-6 10-12 8-11 10-12	-6
13:00	gr	Dorko T	 	804		1 : 3	6-11 11-8 6-11 10-12	-5.4
12:00	gr	Klement M	 	840		2 : 3	12-10 6-11 12-10 7-11 11-13	-2.2
24 Feb 2025 00:00 Tournament A12. league 700-800								
		Zuzanek J		793	3 place			+1.6
		Opponent		Rat.	Result			Delta
4:01		Hlawatschke A	 	795		3 : 1	11-8 11-9 12-14 11-7	+6.1
2:31	gr	Sobisek M	 	793		2 : 3	11-5 7-11 12-10 10-12 6-11	-4
2:01	gr	Klement M	 	816		1 : 3	11-13 1-11 14-12 13-15	-4.6
0:30	gr	Hlawatschke A	 	795		3 : 2	11-8 3-11 11-5 3-11 11-5	+4.1
		Sychra M	 	739		0 : 0		0
22 Feb 2025 16:00 Tournament A12. league 700-800								
		Zuzanek J		792	3 place			+2.6
		Opponent		Rat.	Result			Delta
19:04	3rd	Janik M	 	785		3 : 2	11-8 6-11 12-10 4-11 12-10	+3.7
18:30	gr	Sobisek M	 	798		2 : 3	10-12 6-11 11-7 11-8 8-11	-3.8
17:34	gr	Klement M	 	808		2 : 3	8-11 6-11 13-11 12-10 11-13	-3.3
16:30	gr	Janik M	 	785		3 : 1	12-10 11-5 7-11 11-6	+5.6
22 Feb 2025 12:00 Tournament A17. league 700-800								
		Zuzanek J		792	1 place			-0.3
		Opponent		Rat.	Result			Delta
15:30	Final	Cermak V	 	738		3 : 2	10-12 11-3 3-11 11-6 11-7	+1.9
14:00	gr	Cermak V	 	738		2 : 3	11-7 11-7 11-13 9-11 9-11	-6.1
13:30	gr	Svedik M	 	695		3 : 2	11-3 7-11 12-14 11-7 11-4	+0.1
12:00	gr	Prokupek Ja	 	729		3 : 0	11-3 11-5 11-6	3
21 Feb 2025 08:00 Tournament A14. league 800-900								
		Zuzanek J		787	2 place			+5.3
		Opponent		Rat.	Result			Delta
11:30	Final	Regner M-l	 	842		1 : 3	6-11 9-11 11-9 9-11	-2.7
10:30	gr	Janik M	 	801		2 : 3	11-8 8-11 9-11 11-8 1-11	-3.4
9:00	gr	Regner M-l	 	842		3 : 2	11-4 13-11 9-11 12-14 11-6	+6.2
8:00	gr	Klement M	 	802		3 : 2	7-11 11-9 11-7 5-11 13-11	+4.6
20 Feb 2025 16:00 Tournament A17. league 700-800								
		Zuzanek J		778	1 place			+9.9
		Opponent		Rat.	Result			Delta
19:30	Final	Kolisnyk O	 	797		3 : 2	11-8 11-7 7-11 11-13 11-9	+4.8
18:03	gr	Kolisnyk O	 	797		1 : 3	11-5 3-11 10-12 8-11	-4.8
17:30	gr	Just F	 	776		3 : 2	6-11 13-11 11-6 5-11 11-7	+3.9
16:00	gr	Sychra M	 	765		3 : 1	11-6 11-8 7-11 11-3	+5.2
16 Feb 2025 08:00 Tournament A14. league 700-800								
		Zuzanek J		805	4 place			-13.9
		Opponent		Rat.	Result			Delta
11:01	3rd	Pozarsky J	 	777		2 : 3	5-11 12-10 8-11 12-10 10-12	-5.1
10:00	gr	Dorko T	 	785		2 : 3	11-9 11-6 4-11 3-11 8-11	-4.8
9:30	gr	Hradecky Ja	 	767		3 : 1	13-11 11-8 4-11 11-9	+3.7
8:00	gr	Pozarsky J	 	777		1 : 3	11-2 11-13 5-11 6-11	-7.7
16 Feb 2025 20:00 Tournament A17. league 800-900								
		Zuzanek J		805	4 place			-13.4
		Opponent		Rat.	Result			Delta
23:00	3rd	Louda Ji	 	843		1 : 3	8-11 6-11 11-7 5-11	-3.7
22:00	gr	Cmerda O	 	858		0 : 3	8-11 8-11 9-11	-3.7
21:00	gr	Pagac Z	 	867		1 : 3	8-11 14-12 4-11 7-11	-2.3
20:30	gr	Louda Ji	 	843		1 : 3	6-11 11-9 6-11 10-12	-3.7
12 Feb 2025 12:00 Tournament A12. league 700-800								
		Zuzanek J		818	3 place			-12.7
		Opponent		Rat.	Result			Delta
15:27	3rd	Tazler Ja	 	776		3 : 2	8-11 9-11 11-8 11-0 11-2	+2.3
14:00	gr	Dorko T	 	786		3 : 1	7-11 12-10 11-7 11-6	+4.1
13:30	gr	Tazler Ja	 	776		1 : 3	11-7 8-11 8-11 13-15	-8.5
12:00	gr	Vondrak M	 	781		0 : 3	11-13 8-11 10-12	-11
11 Feb 2025 20:00 Tournament A12. league 800-900								
		Zuzanek J		817	2 place			+1.7
		Opponent		Rat.	Result			Delta
23:30	Final	Cmerda O	 	838		2 : 3	11-7 4-11 11-6 9-11 6-11	-3.2
22:30	gr	Dorko T	 	796		3 : 1	11-6 12-10 10-12 11-7	+4.7
21:30	gr	Cmerda O	 	838		1 : 3	2-11 3-11 11-6 7-11	-4.7
20:30	gr	Holik T	 	771		3 : 0	11-8 11-5 11-6	+4.3
7 Feb 2025 12:00 Tournament A12. league 700-800								
		Zuzanek J		783	1 place			+18.3
		Opponent		Rat.	Result			Delta
15:37	Final	Vrtal O	 	824		3 : 0	11-2 12-10 11-9	+11.3
14:30	gr	Pozarsky J	 	774		3 : 2	11-8 4-11 13-11 10-12 11-8	+3.6
13:00	gr	Vrtal O	 	824		2 : 3	11-9 11-7 4-11 10-12 10-12	-2.4
12:00	gr	Nohejl V 2005	 	808		3 : 2	11-3 4-11 11-8 6-11 11-3	5
7 Feb 2025 20:00 Tournament A17. league 700-800								
		Zuzanek J		783	2 place			+16.7
		Opponent		Rat.	Result			Delta
23:30	Final	Pikous M	 	838		0 : 3	7-11 6-11 4-11	-3.6
22:00	gr	Vondrak M	 	789		3 : 2	11-8 7-11 11-6 8-11 13-11	+4.2
21:30	gr	Pikous M	 	838		3 : 1	11-6 7-11 11-9 11-7	+9.3
20:01	gr	Sychra M	 	761		3 : 0	11-8 11-8 11-8	+6.2
6 Feb 2025 08:00 Tournament A17. league 700-800								
		Zuzanek J		779	3 place			+4.9
		Opponent		Rat.	Result			Delta
11:03	3rd	Kadavy S	 	798		3 : 2	5-11 13-11 5-11 11-9 11-6	+4.8
10:30	gr	Pozarsky J	 	767		2 : 3	4-11 11-6 9-11 11-5 8-11	-4.5
9:01	gr	Kadavy S	 	798		3 : 1	2-11 11-7 11-7 11-1	+7.2
8:00	gr	Dorko T	 	841		0 : 3	10-12 8-11 8-11	-3
4 Feb 2025 20:00 Tournament A12. league 700-800								
		Zuzanek J		778	4 place			-7.9
		Opponent		Rat.	Result			Delta
